
genres,href,id,name,popularity,type,followers.total
"['austrian metal', 'gothic metal', 'gothic symphonic metal', 'melodic metal', 'neo classical metal', 'power metal', 'slayer', 'symphonic metal', 'symphonic power metal']",https://api.spotify.com/v1/artists/5kanN1nKzrkW1m2gZmo82x,5kanN1nKzrkW1m2gZmo82x,Visions of Atlantis,46,artist,81383
"['progressive technical death metal', 'technical death metal', 'technical melodic death metal']",https://api.spotify.com/v1/artists/2yQwuvF6qxv98dqMrZ8iTm,2yQwuvF6qxv98dqMrZ8iTm,Atlantis Chronicles,32,artist,8628
"['metalcore', 'post-screamo']",https://api.spotify.com/v1/artists/6YLWRVTViX4bm2mGxRy9XN,6YLWRVTViX4bm2mGxRy9XN,Breathe Atlantis,41,artist,11004
"['pixie', 'post-screamo']",https://api.spotify.com/v1/artists/31nW0jj6CxQyf5GhDsEeL9,31nW0jj6CxQyf5GhDsEeL9,Atlantis Awaits,31,artist,3332
"['british alternative rock', 'modern alternative rock', 'modern rock']",https://api.spotify.com/v1/artists/1kF0gYnHLUJvFuPdoowO02,1kF0gYnHLUJvFuPdoowO02,Lower Than Atlantis,47,artist,111121
['alte'],https://api.spotify.com/v1/artists/6wukMcC4TS5AUV1cc8lmmd,6wukMcC4TS5AUV1cc8lmmd,Gigi Atlantis,35,artist,653
['chill r&b'],https://api.spotify.com/v1/artists/1OIwR0QnsHzPZrC1pTN1UO,1OIwR0QnsHzPZrC1pTN1UO,Dylan Atlantis,18,artist,467
['post-post-hardcore'],https://api.spotify.com/v1/artists/6jWjG1qqPEzvA7w1wxymf3,6jWjG1qqPEzvA7w1wxymf3,From Atlantis,13,artist,6522
['metal catarinense'],https://api.spotify.com/v1/artists/3jnCtBVFy2caXHrSZ8PYD5,3jnCtBVFy2caXHrSZ8PYD5,Atlantis,0,artist,40
['progressive trance house'],https://api.spotify.com/v1/artists/37AEfVBPHLDfdUyvp64HMG,37AEfVBPHLDfdUyvp64HMG,Atlantis Ocean,24,artist,630
['dissonant death metal'],https://api.spotify.com/v1/artists/5YksM5fILg5LIjctxBfSrX,5YksM5fILg5LIjctxBfSrX,Vertebra Atlantis,10,artist,808
"['bubblegum dance', 'candy pop', 'dance pop', 'europop', 'girl group']",https://api.spotify.com/v1/artists/6JMHws5haIO6V35YNYDnDw,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,63,artist,364744
"['dembow', 'dominican pop', 'rap dominicano', 'trap latino', 'urbano espanol']",https://api.spotify.com/v1/artists/05i5DIXDf4Ai4NEPEi3uBZ,05i5DIXDf4Ai4NEPEi3uBZ,Atomic Otro Way,64,artist,106004
['minneapolis indie'],https://api.spotify.com/v1/artists/0FnrtDOnCbJSgbBgQTjfgQ,0FnrtDOnCbJSgbBgQTjfgQ,Atomic Cafe,32,artist,2102
['stomp pop'],https://api.spotify.com/v1/artists/3HNbNrsIGbM7G63I7UNvze,3HNbNrsIGbM7G63I7UNvze,Atomic Tom,30,artist,6240
"['art rock', 'blues rock', 'british blues', 'german rock', 'hard rock', 'progressive rock', 'proto-metal', 'psychedelic blues-rock', 'psychedelic rock', 'symphonic rock']",https://api.spotify.com/v1/artists/6Ix7Hx8Af0jg9X4OfD9sYR,6Ix7Hx8Af0jg9X4OfD9sYR,Atomic Rooster,33,artist,55057
"['aesthetic rap', 'meme rap', 'sad lo-fi']",https://api.spotify.com/v1/artists/75RLThQWzIgIM7Jtp6KZic,75RLThQWzIgIM7Jtp6KZic,$atori Zoom,66,artist,68842
"['detroit rock', 'swing', 'swing revival']",https://api.spotify.com/v1/artists/3gv1hh37jyGKfyAjFvv7No,3gv1hh37jyGKfyAjFvv7No,The Atomic Fireballs,35,artist,13192
"['psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']",https://api.spotify.com/v1/artists/4TnftWQx6fF7k4Nviu7Nn6,4TnftWQx6fF7k4Nviu7Nn6,The Atomic Bitchwax,37,artist,46880
"['instrumental surf', 'surf music']",https://api.spotify.com/v1/artists/6Zjd2ECuBg8bVcwQ0NJ21W,6Zjd2ECuBg8bVcwQ0NJ21W,Atomic Mosquitos,19,artist,3477
['full on'],https://api.spotify.com/v1/artists/6doAJmQHlyJKfoJZtFJW8U,6doAJmQHlyJKfoJZtFJW8U,Atomic Pulse,27,artist,4572
['progressive metal'],https://api.spotify.com/v1/artists/3LX11DL1d2GULjP82kQJ7p,3LX11DL1d2GULjP82kQJ7p,Atomic Symphony,18,artist,2929
['french reggae'],https://api.spotify.com/v1/artists/5BsYLvkf6dJTpfwXAcin0i,5BsYLvkf6dJTpfwXAcin0i,Atomic Spliff,32,artist,5958
"['chilean metal', 'lovecraftian metal']",https://api.spotify.com/v1/artists/2ZDH8Y5Kt2EIIpz6xvQh88,2ZDH8Y5Kt2EIIpz6xvQh88,Atomic Aggressor,11,artist,4250
['german death metal'],https://api.spotify.com/v1/artists/35BDie84XyB1qcg9hq4Wif,35BDie84XyB1qcg9hq4Wif,Atomwinter,4,artist,1560
"['metalcore', 'pixie', 'pop emo', 'post-screamo']",https://api.spotify.com/v1/artists/4ZznAOb4aE3va5Jz1iDpjc,4ZznAOb4aE3va5Jz1iDpjc,Conquer Divide,48,artist,53301
"['ethereal wave', 'medieval folk', 'neoclassical darkwave', 'rune folk']",https://api.spotify.com/v1/artists/0wUUKwtuCvOtk9GklaUMj2,0wUUKwtuCvOtk9GklaUMj2,Artesia,40,artist,14173
