
genres,href,id,name,popularity,type,followers.total
[],https://api.spotify.com/v1/artists/4leQpW6rYQtVMMayiqzJJu,4leQpW6rYQtVMMayiqzJJu,Atlantis,5,artist,217
['metal catarinense'],https://api.spotify.com/v1/artists/3jnCtBVFy2caXHrSZ8PYD5,3jnCtBVFy2caXHrSZ8PYD5,Atlantis,0,artist,41
[],https://api.spotify.com/v1/artists/4XUxzqo4nbtVh75xJTlATJ,4XUxzqo4nbtVh75xJTlATJ,Atlantis vs Avatar,24,artist,152
[],https://api.spotify.com/v1/artists/3Rq5fRFknTysBlkwyFdtpT,3Rq5fRFknTysBlkwyFdtpT,Dj Atlantis,13,artist,0
[],https://api.spotify.com/v1/artists/5fTJ8AmP56OH5rLJl4F9XD,5fTJ8AmP56OH5rLJl4F9XD,Atlantis,3,artist,21
['progressive trance house'],https://api.spotify.com/v1/artists/37AEfVBPHLDfdUyvp64HMG,37AEfVBPHLDfdUyvp64HMG,Atlantis Ocean,24,artist,628
[],https://api.spotify.com/v1/artists/25l7ubAOcohUhNQ1IHZm7O,25l7ubAOcohUhNQ1IHZm7O,Atlantis,2,artist,56
[],https://api.spotify.com/v1/artists/2tYV4AGY39E6FOimRJB4GJ,2tYV4AGY39E6FOimRJB4GJ,Atlantis Party Night,5,artist,2
[],https://api.spotify.com/v1/artists/5OH13udLj6Cg52Pcn0KVsO,5OH13udLj6Cg52Pcn0KVsO,Fantis Atlantis,9,artist,15
[],https://api.spotify.com/v1/artists/6JLo9PFdUL4T7VsOKGSXgo,6JLo9PFdUL4T7VsOKGSXgo,Atlantis,0,artist,8
[],https://api.spotify.com/v1/artists/7woUZKXQ3e3VubPNMZo5un,7woUZKXQ3e3VubPNMZo5un,atlantis dröm,7,artist,3
[],https://api.spotify.com/v1/artists/1OrJCnHwdkPJBLqbk4o169,1OrJCnHwdkPJBLqbk4o169,StanLi Atlantis,16,artist,95
[],https://api.spotify.com/v1/artists/06BmJtlxu1mbI7EMxDHxov,06BmJtlxu1mbI7EMxDHxov,Atlantis,0,artist,276
['japanese math rock'],https://api.spotify.com/v1/artists/6MnJHWBsRrp2z0uEud2nbq,6MnJHWBsRrp2z0uEud2nbq,ATLANTIS AIRPORT,6,artist,670
[],https://api.spotify.com/v1/artists/49SuClPVcGZ9M0EgwUX6zD,49SuClPVcGZ9M0EgwUX6zD,Atlantis,0,artist,9
[],https://api.spotify.com/v1/artists/0DJ0PkfiHUMZx0IxTyEW2y,0DJ0PkfiHUMZx0IxTyEW2y,Atlantis & Avatar,11,artist,62
